UNIPROT,GENE
A0AV96,RBM47
A0AVT1,UBA6
A0FGR8,ESYT2
A0FGR9,ESYT3
A0M8W4,UBE2V2
A0PJK8,SCRIB
A1X283,SH3PXD2B
A2RTX5,TARS3
A4D0W0,LSM8
A4D105,RPA3
A4D1F7,CCM1
A4D1W7,INHBA
A7KAX9,ARHGAP32
A8ASI8,BID
A8K0D4,
A8K1F6,
A8K1J3,
A8K287,SNAP23
A8K3R3,
A8K3Y2,MAP2K6
A8K4G2,
A8K4H5,
A8K632,
A8K6P0,
A8K8M6,
A8MVU1,NCF1C
A8YXX4,PIG59
A9YTQ3,AHRR
B0AZM1,
B0AZS3,CNOT8
B0LPE5,AKT1
B0LPF3,GRB2
B1AMS2,SEPTIN6
B1APZ0,GNG4
B1PKY1,HLA-A
B2R5T5,PRKAR1A
B2R6K1,
B2R7U3,
B2R862,TRIM38
B2RA10,HOMER3
B2RDI5,
B3KM80,NCL
B3KMF1,
B3KNL6,
B3KP06,
B3KQV3,
B3KRR2,
B3KSW4,RGS20
B3KT07,CRMP1
B3KT21,
B3KUK7,KATNA1
B3KUN1,PPP2CA
B3KV96,
B3KVA4,
B3KVF5,
B3KVH4,
B3KVK2,GNB1
B3KVQ4,
B3KWB9,UBA2
B3KXA2,
B3KXY7,NUDT14
B3KXZ2,
B4DDL9,
B4DG32,
B4DGD0,
B4DGU4,CTNNB1
B4DJC7,PRKRA
B4DJT9,
B4DJX9,STX16
B4DKX4,
B4DLQ9,TFDP1
B4DMW6,DMC1
B4DP94,
B4DPM2,
B4DRS2,KRT4
B4DUQ1,
B4DV51,RAN
B4DWA2,
B4DWH5,
B4DZG7,ARL1
B4E0K5,MAPK14
B4E0X6,
B4E1C1,
B4E3I5,
B5B0A5,BCL6
B6VEX3,
B6VEX4,ABI1
B6VEX5,
B7Z1F9,
B7Z1I4,
B7Z1Z5,
B7Z2W5,RGL1
B7Z306,UBE2E1
B7Z3M9,
B7Z425,STX4A
B7Z4B8,HNRNPUL1
B7Z4U6,
B7Z596,TPM1
B7Z5N5,SMAD2
B7Z647,DLG4
B7Z722,TPM1
B7Z7P8,ETF1
B7Z8R1,CNOT8
B7ZAB3,B3GAT3
B7ZBM3,FOXP4
B7ZM61,PLCE1
B9EGL1,DLG4
C8YZ26,MCL1
D0VY79,HIF1A
D2CGD1,FGFR2
D2KUA6,PPARG
D3DPU2,CAP1
D3DRD5,FGFR2
D3DU92,RNPS1
D3W0D1,KLRF2
D4Q8H0,pk
D6RAH7,UBE2D3
D6RH03,IL6ST
D9YZV4,TPM1
D9YZV5,TPM1
D9YZV7,TPM1
D9ZGF1,CITED2
E7ESI2,CDK2
E7ETZ0,CALM2
E9PD68,CRMP1
E9PER6,PDPK1
E9PEV0,
E9PFC7,
E9PG40,APP
E9PHA6,MSH2
F1D8R3,NR2F6
F5H6I0,B2M
F5H7S3,TPM1
F8VXU5,VPS29
F8W7W8,HFE
F8WAP6,ARNT
F8WCA0,VAMP2
G3V150,B3GAT3
G4XH65,ESR1
G5E9C8,SOS1
H0UIA5,SCAND1
H2EHT1,TP53
H3BTP3,TCF4
H7BYY1,TPM1
H9NIM5,RGS20
I3L0W4,SAT2
I3L4C2,BAIAP2
J3KNL2,SEPTIN1
J3KRN4,MAP3K3
J3QRB6,MAP3K3
K7PML8,CDKN2A
K7PPA8,TP53
K9JA46,EL52
L7RSM2,MAPK14
N0E4C7,CSNK2B
O00141,SGK1
O00144,FZD9
O00161,SNAP23
O00186,STXBP3
O00203,AP3B1
O00217,NDUFS8
O00221,NFKBIE
O00237,RNF103
O00238,BMPR1B
O00244,ATOX1
O00257,CBX4
O00311,CDC7
O00327,ARNTL
O00339,MATN2
O00401,WASL
O00410,IPO5
O00443,PIK3C2A
O00444,PLK4
O00459,PIK3R2
O00482,NR5A2
O00487,PSMD14
O00505,KPNA3
O00506,STK25
O00522,KRIT1
O00555,CACNA1A
O00567,NOP56
O00571,DDX3X
O00585,CCL21
O00629,KPNA4
O00635,TRIM38
O00750,PIK3C2B
O00762,UBE2C
O14492,SH2B2
O14508,SOCS2
O14522,PTPRT
O14531,DPYSL4
O14544,SOCS6
O14558,HSPB6
O14559,ARHGAP33
O14578,CIT
O14610,GNGT2
O14617,AP3D1
O14640,DVL1
O14641,DVL2
O14662,STX16
O14682,ENC1
O14733,MAP2K7
O14745,SLC9A3R1
O14757,CHEK1
O14775,GNB5
O14786,NRP1
O14795,UNC13B
O14802,POLR3A
O14807,MRAS
O14818,PSMA7
O14827,RASGRF2
O14830,PPEF2
O14893,GEMIN2
O14910,LIN7A
O14920,IKBKB
O14921,RGS13
O14924,RGS12
O14933,UBE2L6
O14936,CASK
O14950,MYL12B
O14964,HGS
O14965,AURKA
O14974,PPP1R12A
O14976,GAK
O14979,HNRNPDL
O14980,XPO1
O14986,PIP5K1B
O15018,PDZD2
O15041,SEMA3E
O15055,PER2
O15068,MCF2L
O15085,ARHGEF11
O15111,CHUK
O15116,LSM1
O15123,ANGPT2
O15131,KPNA5
O15143,ARPC1B
O15144,ARPC2
O15146,MUSK
O15156,ZBTB7B
O15169,AXIN1
O15205,UBD
O15211,RGL2
O15232,MATN3
O15234,CASC3
O15264,MAPK13
O15297,PPM1D
O15315,RAD51B
O15350,TP73
O15379,HDAC3
O15392,BIRC5
O15409,FOXP2
O15439,ABCC4
O15444,CCL25
O15467,CCL16
O15488,GYG2
O15492,RGS16
O15498,YKT6
O15511,ARPC5
O15519,CFLAR
O15520,FGF10
O15524,SOCS1
O15530,PDPK1
O15533,TAPBP
O15534,PER1
O15535,ZSCAN9
O43150,ASAP2
O43157,PLXNB1
O43164,PJA2
O43187,IRAK2
O43236,SEPTIN4
O43251,RBFOX2
O43281,EFS
O43283,MAP3K13
O43293,DAPK3
O43306,ADCY6
O43318,MAP3K7
O43353,RIPK2
O43390,HNRNPR
O43424,GRID2
O43432,EIF4G3
O43463,SUV39H1
O43502,RAD51C
O43521,BCL2L11
O43542,XRCC3
O43543,XRCC2
O43566,RGS14
O43567,RNF13
O43586,PSTPIP1
O43617,TRAPPC3
O43639,NCK2
O43680,TCF21
O43683,BUB1
O43684,BUB3
O43707,ACTN4
O43739,CYTH3
O43747,AP1G1
O43752,STX6
O43790,KRT86
O43791,SPOP
O43837,IDH3B
O43921,EFNA2
O43924,PDE6D
O43927,CXCL13
O43933,PEX1
O60220,TIMM8A
O60229,KALRN
O60260,PRKN
O60262,GNG7
O60282,KIF5C
O60285,NUAK1
O60307,MAST3
O60341,KDM1A
O60346,PHLPP1
O60383,GDF9
O60462,NRP2
O60469,DSCAM
O60496,DOK2
O60500,NPHS1
O60503,ADCY9
O60506,SYNCRIP
O60508,CDC40
O60603,TLR2
O60609,GFRA3
O60610,DIAPH1
O60674,JAK2
O60684,KPNA6
O60885,BRD4
O60907,TBL1X
O75083,WDR1
O75093,SLIT1
O75116,ROCK2
O75306,NDUFS2
O75317,USP12
O75340,PDCD6
O75342,ALOX12B
O75348,ATP6V1G1
O75351,VPS4B
O75360,PROP1
O75367,MACROH2A1
O75369,FLNB
O75379,VAMP4
O75385,ULK1
O75439,PMPCB
O75446,SAP30
O75489,NDUFS3
O75494,SRSF10
O75530,EED
O75569,PRKRA
O75582,RPS6KA5
O75607,NPM3
O75676,RPS6KA4
O75688,PPM1B
O75747,PIK3C2G
O75771,RAD51D
O75791,GRAP2
O75792,RNASEH2A
O75815,BCAR3
O75821,EIF3G
O75832,PSMD10
O75843,AP1G2
O75886,STAM2
O75909,CCNK
O75914,PAK3
O75916,RGS9
O75947,ATP5PD
O75962,TRIO
O76015,KRT38
O76039,CDKL5
O76064,RNF8
O76071,CIAO1
O76081,RGS20
O94766,B3GAT3
O94776,MTA2
O94806,PRKD3
O94810,RGS11
O94813,SLIT2
O94827,PLEKHG5
O94855,SEC24D
O94868,FCHSD2
O94921,CDK14
O94973,AP2A2
O94989,ARHGEF15
O95049,TJP3
O95071,UBR5
O95149,SNUPN
O95166,GABARAP
O95183,VAMP5
O95198,KLHL2
O95259,KCNH1
O95267,RASGRP1
O95319,CELF2
O95382,MAP3K6
O95396,MOCS3
O95398,RAPGEF3
O95460,MATN4
O95466,FMNL1
O95486,SEC24A
O95502,NPTXR
O95602,POLR1A
O95622,ADCY5
O95628,CNOT4
O95633,FSTL3
O95704,APBB3
O95714,HERC2
O95716,RAB3D
O95747,OXSR1
O95757,HSPA4L
O95760,IL33
O95777,LSM8
O95782,AP2A1
O95819,MAP4K4
O95835,LATS1
O95848,NUDT14
O95972,BMP15
O95989,NUDT3
O96013,PAK4
O96017,CHEK2
P00338,LDHA
P00352,ALDH1A1
P00450,CP
P00451,F8
P00491,PNP
P00519,ABL1
P00533,EGFR
P00540,MOS
P00734,F2
P00736,C1R
P00740,F9
P00742,F10
P00746,CFD
P00747,PLG
P00748,F12
P00749,PLAU
P00750,PLAT
P00751,CFB
P00966,ASS1
P01009,SERPINA1
P01011,SERPINA3
P01023,A2M
P01024,C3
P01031,C5
P01034,CST3
P01040,CSTA
P01106,MYC
P01111,NRAS
P01112,HRAS
P01116,KRAS
P01127,PDGFB
P01133,EGF
P01137,TGFB1
P01215,CGA
P01225,FSHB
P01242,GH2
P01270,PTH
P01282,VIP
P01374,LTA
P01562,IFNA1
P01563,IFNA2
P01574,IFNB1
P01584,IL1B
P01834,IGKC
P01861,IGHG4
P01889,HLA-B
P01891,HLA-A
P01892,HLA-A
P02281,
P02538,KRT6A
P02549,SPTA1
P02585,TNNC2
P02671,FGA
P02675,FGB
P02679,FGG
P02751,FN1
P02774,GC
P02775,PPBP
P02778,CXCL10
P03372,ESR1
P03951,F11
P03952,KLKB1
P03973,SLPI
P03989,HLA-B
P04049,RAF1
P04070,PROC
P04080,CSTB
P04150,NR3C1
P04259,KRT6B
P04264,KRT1
P04271,S100B
P04275,VWF
P04439,HLA-A
P04626,ERBB2
P04629,NTRK1
P04632,CAPNS1
P04637,TP53
P04818,TYMS
P04899,GNAI2
P04908,H2AC4
P05023,ATP1A1
P05067,APP
P05091,ALDH2
P05107,ITGB2
P05121,SERPINE1
P05129,PRKCG
P05154,SERPINA5
P05155,SERPING1
P05161,ISG15
P05198,EIF2S1
P05231,IL6
P05451,REG1A
P05556,ITGB1
P05771,PRKCB
P05787,KRT8
P05981,HPN
P06126,CD1A
P06213,INSR
P06239,LCK
P06241,FYN
P06396,GSN
P06400,RB1
P06401,PGR
P06493,CDK1
P06576,ATP5F1B
P06703,S100A6
P06730,EIF4E
P06733,ENO1
P06734,FCER2
P06737,PYGL
P06748,NPM1
P06756,ITGAV
P06899,H2BC11
P07093,SERPINE2
P07195,LDHB
P07196,NEFL
P07225,PROS1
P07237,P4HB
P07288,KLK3
P07306,ASGR1
P07307,ASGR2
P07315,CRYGC
P07332,FES
P07359,GP1BA
P07384,CAPN1
P07711,CTSL
P07858,CTSB
P07900,HSP90AA1
P07947,YES1
P07948,LYN
P07949,RET
P07951,TPM2
P08069,IGF1R
P08134,RHOC
P08160,P35
P08174,CD55
P08237,PFKM
P08238,HSP90AB1
P08246,ELANE
P08253,MMP2
P08263,GSTA1
P08476,INHBA
P08514,ITGA2B
P08519,LPA
P08574,CYC1
P08575,PTPRC
P08581,MET
P08603,CFH
P08621,SNRNP70
P08631,HCK
P08648,ITGA5
P08697,SERPINF2
P08709,F7
P08727,KRT19
P08729,KRT7
P08754,GNAI3
P09012,SNRPA
P09210,GSTA2
P09341,CXCL1
P09471,GNAO1
P09493,TPM1
P09496,CLTA
P09497,CLTB
P09525,ANXA4
P09529,INHBB
P09619,PDGFRB
P09651,HNRNPA1
P09661,SNRPA1
P09769,FGR
P09871,C1S
P09914,IFIT1
P09936,UCHL1
P0C0S5,H2AZ1
P0C0S8,H2AC11
P0C7T5,ATXN1L
P0CG47,UBB
P0CG48,UBC
P0DI81,TRAPPC2
P0DJD3,RBMY1A1
P10073,ZSCAN22
P10109,FDX1
P10145,CXCL8
P10242,MYB
P10301,RRAS
P10398,ARAF
P10415,BCL2
P10586,PTPRF
P10588,NR2F6
P10589,NR2F1
P10643,C7
P10646,TFPI
P10721,KIT
P10828,THRB
P10911,MCF2
P10912,GHR
P10916,MYL2
P11021,HSPA5
P11142,HSPA8
P11177,PDHB
P11215,ITGAM
P11216,PYGB
P11233,RALA
P11274,BCR
P11308,ERG
P11362,FGFR1
P11388,TOP2A
P11473,VDR
P11474,ESRRA
P11488,GNAT1
P11802,CDK4
P11831,SRF
P11908,PRPS2
P11940,PABPC1
P12004,PCNA
P12036,NEFH
P12109,COL6A1
P12111,COL6A3
P12259,F5
P12429,ANXA3
P12643,BMP2
P12645,BMP3
P12755,SKI
P12757,SKIL
P12814,ACTN1
P12830,CDH1
P12931,SRC
P12956,XRCC6
P13010,XRCC5
P13196,ALAS1
P13349,MYF5
P13501,CCL5
P13569,CFTR
P13591,NCAM1
P13611,VCAN
P13631,RARG
P13637,ATP1A3
P13645,KRT10
P13646,KRT13
P13647,KRT5
P13726,F3
P13747,HLA-E
P13797,PLS3
P13804,ETFA
P13929,ENO3
P13945,ADRB3
P14151,SELL
P14210,HGF
P14373,TRIM27
P14416,DRD2
P14543,NID1
P14598,NCF1
P14616,INSRR
P14635,CCNB1
P14678,SNRPB
P14679,TYR
P14770,GP9
P14778,IL1R1
P14780,MMP9
P14927,UQCRB
P15036,ETS2
P15056,BRAF
P15104,GLUL
P15153,RAC2
P15170,GSPT1
P15172,MYOD1
P15173,MYOG
P15311,EZR
P15374,UCHL3
P15498,VAV1
P15529,CD46
P15884,TCF4
P15918,RAG1
P15923,TCF3
P15927,RPA2
P16035,TIMP2
P16066,NPR1
P16104,H2AX
P16109,SELP
P16112,ACAN
P16144,ITGB4
P16234,PDGFRA
P16298,PPP3CB
P16333,NCK1
P16410,CTLA4
P16473,TSHR
P16520,GNB3
P16591,FER
P16885,PLCG2
P17028,ZNF24
P17029,ZKSCAN1
P17066,HSPA6
P17081,RHOQ
P17181,IFNAR1
P17252,PRKCA
P17275,JUNB
P17509,HOXB6
P17535,JUND
P17538,CTRB1
P17542,TAL1
P17600,SYN1
P17612,PRKACA
P17643,TYRP1
P17655,CAPN2
P17693,HLA-G
P17787,CHRNB2
P17844,DDX5
P17858,PFKL
P17947,SPI1
P18075,BMP7
P18084,ITGB5
P18206,VCL
P18433,PTPRA
P18464,HLA-B
P18564,ITGB6
P18754,RCC1
P18848,ATF4
P19012,KRT15
P19022,CDH2
P19086,GNAZ
P19099,CYP11B2
P19105,MYL12A
P19174,PLCG1
P19338,NCL
P19387,POLR2C
P19419,ELK1
P19429,TNNI3
P19474,TRIM21
P19525,EIF2AK2
P19784,CSNK2A2
P19793,RXRA
P19838,NFKB1
P19878,NCF2
P19883,FST
P19957,PI3
P20023,CR2
P20151,KLK2
P20226,TBP
P20231,TPSB2
P20248,CCNA2
P20290,BTF3
P20309,CHRM3
P20333,TNFRSF1B
P20336,RAB3A
P20337,RAB3B
P20339,RAB5A
P20340,RAB6A
P20585,MSH3
P20618,PSMB1
P20648,ATP4A
P20671,H2AC7
P20701,ITGAL
P20702,ITGAX
P20749,BCL3
P20783,NTF3
P20810,CAST
P20827,EFNA1
P20908,COL5A1
P20936,RASA1
P20941,PDC
P21673,SAT1
P21674,Fst
P21675,TAF1
P21709,EPHA1
P21728,DRD1
P21734,UBC1
P21781,FGF7
P21802,FGFR2
P21817,RYR1
P21860,ERBB3
P21912,SDHB
P21941,MATN1
P22004,BMP6
P22033,MMUT
P22223,CDH3
P22314,UBA1
P22455,FGFR4
P22612,PRKACG
P22626,HNRNPA2B1
P22694,PRKACB
P22736,NR4A1
P22888,LHCGR
P22894,MMP8
P23246,SFPQ
P23297,S100A1
P23409,MYF6
P23443,RPS6KB1
P23458,JAK1
P23468,PTPRD
P23469,PTPRE
P23471,PTPRZ1
P23508,MCC
P23511,NFYA
P23560,BDNF
P23921,RRM1
P24046,GABRR1
P24071,FCAR
P24158,PRTN3
P24385,CCND1
P24386,CHM
P24468,NR2F2
P24534,EEF1B2
P24539,ATP5PB
P24821,TNC
P24844,MYL9
P24863,CCNC
P24864,CCNE1
P24941,CDK2
P25067,COL8A2
P25098,GRK2
P25100,ADRA1D
P25101,EDNRA
P25103,TACR1
P25105,PTAFR
P25208,NFYB
P25391,LAMA1
P25705,ATP5F1A
P25774,CTSS
P25786,PSMA1
P25787,PSMA2
P25788,PSMA3
P25789,PSMA4
P25815,S100P
P25940,COL5A3
P25963,NFKBIA
P26012,ITGB8
P26038,MSN
P26367,PAX6
P26374,CHML
P26447,S100A4
P26639,TARS1
P26718,KLRK1
P26885,FKBP2
P26927,MST1
P27037,ACVR2A
P27348,YWHAQ
P27361,MAPK3
P27448,MARK3
P27482,CALML3
P27540,ARNT
P27658,COL8A1
P27694,RPA1
P27930,IL1R2
P27986,PIK3R1
P28062,PSMB8
P28066,PSMA5
P28072,PSMB6
P28074,PSMB5
P28288,ABCD3
P28476,GABRR2
P28482,MAPK1
P28562,DUSP1
P28702,RXRB
P28749,RBL1
P28827,PTPRM
P29016,CD1B
P29034,S100A2
P29274,ADORA2A
P29275,ADORA2B
P29317,EPHA2
P29320,EPHA3
P29323,EPHB2
P29350,PTPN6
P29353,SHC1
P29376,LTK
