Experiment,Models_type,METRIC,SCORES
1,Default,Acc_scores,0.6666666666666666
2,Default,Acc_scores,0.696969696969697
3,Default,Acc_scores,0.696969696969697
4,Default,Acc_scores,0.696969696969697
5,Default,Acc_scores,0.7272727272727273
6,Default,Acc_scores,0.7575757575757576
7,Default,Acc_scores,0.7575757575757576
8,Default,Acc_scores,0.8181818181818182
9,Default,Acc_scores,0.696969696969697
10,Default,Acc_scores,0.7878787878787878
11,Default,Acc_scores,0.6666666666666666
12,Default,Acc_scores,0.7272727272727273
13,Default,Acc_scores,0.8181818181818182
14,Default,Acc_scores,0.6666666666666666
15,Default,Acc_scores,0.5454545454545454
16,Default,Acc_scores,0.7272727272727273
17,Default,Acc_scores,0.7575757575757576
18,Default,Acc_scores,0.7272727272727273
19,Default,Acc_scores,0.696969696969697
20,Default,Acc_scores,0.7272727272727273
21,Default,Acc_scores,0.7575757575757576
22,Default,Acc_scores,0.7575757575757576
23,Default,Acc_scores,0.7272727272727273
24,Default,Acc_scores,0.696969696969697
25,Default,Acc_scores,0.6666666666666666
26,Default,Acc_scores,0.8181818181818182
27,Default,Acc_scores,0.7878787878787878
28,Default,Acc_scores,0.696969696969697
29,Default,Acc_scores,0.7575757575757576
30,Default,Acc_scores,0.7575757575757576
31,Default,Acc_scores,0.7575757575757576
32,Default,Acc_scores,0.7575757575757576
33,Default,Acc_scores,0.7575757575757576
34,Default,Acc_scores,0.7272727272727273
35,Default,Acc_scores,0.7878787878787878
36,Default,Acc_scores,0.7575757575757576
37,Default,Acc_scores,0.8181818181818182
38,Default,Acc_scores,0.7575757575757576
39,Default,Acc_scores,0.7272727272727273
40,Default,Acc_scores,0.7575757575757576
41,Default,Acc_scores,0.696969696969697
42,Default,Acc_scores,0.6666666666666666
43,Default,Acc_scores,0.8181818181818182
44,Default,Acc_scores,0.6363636363636364
45,Default,Acc_scores,0.7272727272727273
46,Default,Acc_scores,0.696969696969697
47,Default,Acc_scores,0.7272727272727273
48,Default,Acc_scores,0.7575757575757576
