SYMBOL	COHORT	CANCER_TYPE	METHODS	QVALUE_COMBINATION	TIER	MUTATIONS_COHORT	SAMPLES_COHORT	ROLE	CGC_GENE	TIER_CGC	CGC_CANCER_GENE	NUM_COHORTS	SIGNATURE9	WARNING_EXPRESSION	WARNING_GERMLINE	SAMPLES_3MUTS	OR_WARNING	KNOWN_ARTIFACT	NUM_PAPERS	FILTER
A1CF	HARTWIG_ANUS	AN	cbase	0.0211161753081298	3	435957	17	Act	True	2.0	False	3	0.0	True	False	0.0	False	False	0.0	Warning expression
A1CF	CBIOP_WXS_SKCM_BROAD	CM		0.04965412266055592	2	157355	88	Act	True	2.0	True	3	0.0	True	False	0.0	False	False	0.0	Warning expression
A1CF	ICGC_WGS_PRAD_UK	PRAD		0.028866999977158955	2	584433	182	LoF	True	2.0	False	3	0.0	True	False	0.0	False	False	0.0	Warning expression
ABCA13	HARTWIG_SKIN_SKIN_SQUAMOUS_CELL_CARCINOMA	SSCC	oncodriveclustl,cbase	3.979008210703797e-05	1	2535437	11	Act	False		False	1	0.0	True	False	3.0	False	False	0.0	Warning expression
ABCA6	TCGA_WXS_LAML	AML	oncodriveclustl,dndscv,cbase,mutpanning	7.0351276401981024e-09	1	8182	140	LoF	False		False	1	0.0	False	False	0.0	False	False	0.0	Lack of literature evidence
ABCB1	ICGC_WGS_ESAD_UK	ESCA	dndscv,cbase	0.0002010297541482517	1	4899758	150	Act	False		False	1	0.0625	False	False	0.0	False	False	8.0	PASS
ABCD1	ICGC_WXS_LAML_KR_VARSCAN	AML	hotmaps,smregions	3.1346091444112405e-08	1	46238	67	Act	False		False	2	0.0	False	False	0.0	False	False	0.0	Lack of literature evidence
ABCD1	ICGC_WXS_LUSC_KR_WXS	LUSC	hotmaps,smregions	1.5414045451737091e-06	1	75950	36	Act	False		False	2	0.0	False	False	1.0	False	False	0.0	Samples with more than 3 mutations
ABCF1	OTHER_WGS_MM_NATLEUK2018	MM	oncodriveclustl,dndscv	1.9345052480590016e-09	3	341009	933	ambiguous	False		False	2	0.043478260869565216	False	False	0.0	False	False	0.0	Lack of literature evidence
ABCF1	HARTWIG_BONESOFT_TISSUE	OS	oncodriveclustl,oncodrivefml	1.7735037348853783e-08	1	2117963	182	LoF	False		False	2	0.0	False	False	0.0	False	False	0.0	Lack of literature evidence
ABI1	ICGC_WGS_ESAD_UK	ESCA	smregions	0.0001070213296242537	2	4899758	150	LoF	True	1.0	False	1	0.3333333333333333	False	False	0.0	False	False	2.0	PASS
ABL1	HARTWIG_LIVER	HC		0.0014716459563622881	2	626960	51	Act	True	1.0	False	2	0.0	False	False	0.0	False	False	846.0	PASS
ABL1	TCGA_WXS_UCEC	UCEC		0.0062051974575781784	2	905953	503	LoF	True	1.0	False	2	0.0	False	False	0.0	False	False	846.0	PASS
ABL2	ICGC_WGS_BRCA_FR	BRCA		0.008337593744048615	2	622660	72	LoF	True	1.0	False	4	0.0	False	False	0.0	False	False	4.0	PASS
ABL2	TCGA_WXS_BRCA	BRCA		0.19506954542549745	2	119144	973	Act	True	1.0	False	4	0.0	False	False	0.0	False	False	4.0	PASS
ABL2	TCGA_WXS_THCA	THCA		4.112968368277121e-05	1	7915	488	LoF	True	1.0	False	4	0.0	False	False	0.0	False	False	4.0	PASS
ABL2	TCGA_WXS_UCEC	UCEC	smregions	0.021749134730239414	2	905953	503	Act	True	1.0	False	4	0.0	False	False	0.0	False	False	4.0	PASS
ACKR3	TCGA_WXS_OV	OV		0.14618815373805594	2	49185	407	Act	True	1.0	False	1	0.0	False	False	0.0	False	False	2.0	PASS
ACOT2	OTHER_WXS_AML_PRY_BEAT_2018	AML	hotmaps,smregions,mutpanning	0.0016874208244565582	1	79225	257	Act	False		False	1	0.0	False	False	0.0	False	False	0.0	Lack of literature evidence
ACSL3	TCGA_WXS_LAML	AML		9.561379331913947e-05	1	8182	140	Act	True	1.0	False	1	0.0	False	False	0.0	False	False	3.0	PASS
ACSM2A	ICGC_WXS_LAML_KR_VARSCAN	AML	hotmaps,mutpanning	3.1346091444112405e-08	3	46238	67	Act	False		False	2	0.0	True	False	0.0	False	False	0.0	Warning expression
ACSM2A	ICGC_WXS_LUSC_KR_WXS	LUSC	oncodriveclustl,hotmaps,mutpanning	7.047590346952159e-10	1	75950	36	Act	False		False	2	0.0	True	False	0.0	False	False	0.0	Warning expression
ACVR1	PEDCBIOP_WXS_HGG-PRY	HGG	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.2896043570150757e-23	1	5584	106	Act	True	1.0	True	2	0.0	False	False	0.0	False	False	1.0	PASS
ACVR1	TCGA_WXS_UCEC	UCEC	dndscv,cbase	2.807493614587773e-13	2	905953	503	Act	True	1.0	False	2	0.0	False	False	0.0	False	False	1.0	PASS
ACVR1B	ICGC_WXS_PACA_AU_WXS	PAAD	dndscv,oncodrivefml,cbase	1.7261733259767796e-09	1	13690	232	LoF	False		False	1	0.0	False	False	0.0	False	False	0.0	Lack of literature evidence
ACVR2A	ICGC_WXS_COCA_CN_WXS_VARSCAN	COREAD	cbase	0.00019383475788049704	1	160880	99	LoF	True	1.0	True	11	0.0	False	False	0.0	False	False	3.0	PASS
ACVR2A	TCGA_WXS_COADREAD	COREAD	dndscv,mutpanning	1.2071343069613085e-10	1	310472	496	LoF	True	1.0	True	11	0.0	False	False	0.0	False	False	3.0	PASS
ACVR2A	ICGC_WXS_LICA_FR_WXS	HC		0.009177282370456816	2	933908	226	LoF	True	1.0	False	11	0.0	False	False	0.0	False	False	3.0	PASS
